Customer ID,Flight ID,Date of Flight,Bonus Card Number,Gender,First Name,Last Name,Day of Ticket Purchase,Booked Class,Seat Number,Ticket Price Before Tax
75264,LH450,29/04/2020,3304-9884-7450,male,Trevor,Justice,14/03/2020,Economy,D34,1062
103616,LH518,18/07/2019,1746-6292-4745,male,Anatol,Melly,13/07/2019,Economy,E56,3422
41599,LH422,19/12/2019,2425-2680-9280,female,JoAnne,Rawlyns,21/09/2019,Economy,E73,580
35633,LH456,30/12/2019,2789-8241-2488,female,Othella,Arnett,23/12/2019,Economy,B69,3261
51640,LH109,16/05/2020,5247-1001-1363,female,Chrissy,Mayne,06/03/2020,Economy,E61,633
85555,LH233,06/03/2020,2778-1574-9155,male,Roscoe,Firlotte,22/01/2020,Economy,B53,1107
65547,LH533,17/05/2020,1827-0913-1099,female,Saree,Wight,17/03/2020,Economy,B65,746
51264,LH117,21/10/2019,3299-4369-3158,female,Doria,Nance,04/08/2019,Economy,C86,538
98943,LH241,05/05/2020,1563-2956-8733,female,Lenna,Norris,21/04/2020,Economy,B3,2666
18071,LH199,14/03/2020,7050-0226-9675,female,Jerrilyn,Niddrie,15/02/2020,Economy,H84,1846
36403,LH465,30/03/2020,5607-5295-5103,male,Ryan,Landor,12/01/2020,Economy,H8,564
78627,LH259,26/07/2020,8101-5937-7725,female,Corabel,Hixson,13/05/2020,Economy,E6,566
13827,LH223,07/05/2020,3449-2387-2197,female,Maren,Mclevin,18/03/2020,Economy,C69,945
33165,LH251,24/04/2020,3633-6969-4423,male,Renado,Somerville,29/03/2020,Economy,H3,1954
84241,LH545,16/04/2020,8523-1402-3272,male,Geraldo,Cramp,23/02/2020,Economy,G27,865
46993,LH493,06/02/2020,3488-4597-9214,female,Rheba,Bonsignore,24/01/2020,Economy,A16,2754
89513,LH132,10/09/2019,4907-3447-0838,female,Fawna,Capes,05/09/2019,Economy,E33,3437
71288,LH208,29/01/2020,4230-9852-3948,female,Midge,Madden,17/01/2020,Economy,E40,2876
77034,LH358,06/10/2019,3033-7190-8763,male,Daffy,Bainbrigg,02/08/2019,Economy,E6,649
56936,LH410,27/09/2019,2645-0388-0050,female,Nelle,Howland,03/08/2019,Economy,H90,850
88442,LH103,07/07/2020,6826-9355-6721,female,Dix,Tyler,28/05/2020,Economy,G90,1288
92932,LH344,20/04/2020,1108-2643-3213,male,Rodrick,Plantaganet,09/02/2020,Economy,H42,585
28621,LH371,13/09/2019,1046-6889-6515,male,Aldus,Cross,12/08/2019,Economy,E60,1616
89774,LH354,09/08/2019,3738-4509-6615,female,Anne-Mar,Aske,12/07/2019,Economy,E16,1826
77844,LH504,07/11/2019,8184-3052-8365,female,Cassey,Sohrweide,29/08/2019,Economy,H29,599
99289,LH253,24/12/2019,1097-9800-7838,male,Davy,Bruty,27/10/2019,Economy,C34,814
99861,LH566,10/01/2020,3582-9071-1301,female,Annabela,Sturgis,17/10/2019,Economy,F32,568
27817,LH525,10/03/2020,6161-7931-1190,male,Goober,Charnley,01/02/2020,Economy,G12,1381
15954,LH509,03/06/2020,6436-7972-6008,female,Nessa,Blum,27/03/2020,Economy,D87,689
77787,LH585,07/03/2020,6152-3882-9500,female,Florice,Arsenault,19/01/2020,Economy,B35,1000
107664,LH501,08/07/2019,6777-5561-1054,female,Matilde,Barber,04/07/2019,Economy,A55,3517
24433,LH470,01/12/2019,9829-6988-5306,female,Geneva,Wheaton,03/10/2019,Economy,C23,804
97080,LH512,10/07/2019,8066-4342-5201,male,Roddy,Venus,04/07/2019,Economy,E23,3388
58943,LH102,12/10/2019,1108-6295-5279,male,Clint,Chalk,04/09/2019,Economy,A24,1308
10452,LH250,28/06/2020,4286-8627-6630,male,Josef,Cumbe,18/04/2020,Economy,F83,680
104228,LH549,11/11/2019,4999-0593-8197,female,Tania,Glendenning,05/08/2019,Economy,B36,577
22583,LH125,13/01/2020,6989-0241-4201,female,Brina,Honeyman,03/11/2019,Economy,G55,641
44702,LH204,22/11/2019,5866-0927-6079,female,Alma,Kirkwood,26/09/2019,Economy,D69,830
94407,LH427,05/05/2020,1068-8519-8241,female,Nova,Heald,21/02/2020,Economy,C71,584
79179,LH535,03/10/2019,1090-7964-0898,female,Rosie,Shelbaur,20/08/2019,Economy,F6,1096
16011,LH184,16/10/2019,1455-9367-6028,female,Belva,Weir,02/08/2019,Economy,B34,651
53015,LH210,09/01/2020,2915-2434-5454,male,Ronny,Brookey,09/12/2019,Economy,D72,1624
42877,LH152,15/11/2019,4591-2021-4234,female,Tarah,Hoomes,03/10/2019,Economy,C56,1137
109171,LH550,30/07/2020,3228-1972-2347,male,Paul,Mcintyre,19/05/2020,Economy,F50,663
50155,LH363,14/04/2020,2421-2190-0785,male,Richard,Warren,20/01/2020,Economy,F19,547
101556,LH288,31/12/2019,8877-9454-0330,female,Della,Coutts-neville,10/11/2019,Economy,F94,955
23269,LH493,27/03/2020,8322-9886-1096,male,Benjy,Gladwyn,30/01/2020,Economy,A8,863
93239,LH545,06/12/2019,5990-2767-8286,male,Waverley,Hewitson,25/09/2019,Economy,A43,601
58066,LH103,14/10/2019,1124-8714-0167,male,Algernon,Guttridge,31/08/2019,Economy,D7,1132
